"Code","Class","SourceStatus","DescriptionPreferred","DescriptionBase","DescriptionApp"
"B1354","B","base-only","Зажигание Key-In Цепь Короткое замыкание на массу","Зажигание Key-In Цепь Короткое замыкание на массу",
"B1355","B","base-only","Зажигание Run Цепь Failure","Зажигание Run Цепь Failure",
"B1356","B","base-only","Зажигание Run Цепь Обрыв","Зажигание Run Цепь Обрыв",
"B1357","B","base-only","Зажигание Run Цепь Короткое замыкание на батарею","Зажигание Run Цепь Короткое замыкание на батарею",
"B1358","B","base-only","Зажигание Run Цепь Короткое замыкание на массу","Зажигание Run Цепь Короткое замыкание на массу",
"B1359","B","base-only","Зажигание Run/Acc Цепь Failure","Зажигание Run/Acc Цепь Failure",
"B1360","B","base-only","Зажигание Run/Acc Цепь Обрыв","Зажигание Run/Acc Цепь Обрыв",
"B1361","B","base-only","Зажигание Run/Acc Цепь Короткое замыкание на батарею","Зажигание Run/Acc Цепь Короткое замыкание на батарею",
"B1362","B","base-only","Зажигание Run/Acc Цепь Короткое замыкание на массу","Зажигание Run/Acc Цепь Короткое замыкание на массу",
"B1363","B","base-only","Зажигание Start Цепь Failure","Зажигание Start Цепь Failure",
"B1364","B","base-only","Зажигание Start Цепь Обрыв","Зажигание Start Цепь Обрыв",
"B1365","B","base-only","Зажигание Start Цепь Короткое замыкание на батарею","Зажигание Start Цепь Короткое замыкание на батарею",
"B1366","B","base-only","Зажигание Start Цепь Короткое замыкание на массу","Зажигание Start Цепь Короткое замыкание на массу",
"B1367","B","base-only","Зажигание Tach Цепь Failure","Зажигание Tach Цепь Failure",
"B1368","B","base-only","Зажигание Tach Цепь Обрыв","Зажигание Tach Цепь Обрыв",
"B1369","B","base-only","Зажигание Tach Цепь Короткое замыкание на батарею","Зажигание Tach Цепь Короткое замыкание на батарею",
"B1370","B","base-only","Зажигание Tach Цепь Короткое замыкание на массу","Зажигание Tach Цепь Короткое замыкание на массу",
"B1371","B","base-only","Illuminated Entry Relay Цепь Failure","Illuminated Entry Relay Цепь Failure",
"B1372","B","base-only","Illuminated Entry Relay Цепь Обрыв","Illuminated Entry Relay Цепь Обрыв",
"B1373","B","base-only","Illuminated Entry Relay Короткое замыкание на батарею","Illuminated Entry Relay Короткое замыкание на батарею",
"B1374","B","base-only","Illuminated Entry Relay Короткое замыкание на массу","Illuminated Entry Relay Короткое замыкание на массу",
"B1375","B","base-only","Oil Change Лампа Цепь Обрыв","Oil Change Лампа Цепь Обрыв",
"B1376","B","base-only","Oil Change Лампа Цепь Короткое замыкание на батарею","Oil Change Лампа Цепь Короткое замыкание на батарею",
"B1377","B","base-only","Oil Change Лампа Цепь Failure","Oil Change Лампа Цепь Failure",
"B1378","B","base-only","Oil Change Лампа Цепь Короткое замыкание на массу","Oil Change Лампа Цепь Короткое замыкание на массу",
"B1379","B","base-only","Oil Change Reset Button Цепь Короткое замыкание на массу","Oil Change Reset Button Цепь Короткое замыкание на массу",
"B1380","B","base-only","Oil Change Reset Button Цепь Failure","Oil Change Reset Button Цепь Failure",
"B1381","B","base-only","Oil Change Reset Button Цепь Обрыв","Oil Change Reset Button Цепь Обрыв",
"B1382","B","base-only","Oil Change Reset Button Цепь Короткое замыкание на батарею","Oil Change Reset Button Цепь Короткое замыкание на батарею",
"B1383","B","base-only","Oil Level Лампа Цепь Короткое замыкание на батарею","Oil Level Лампа Цепь Короткое замыкание на батарею",
"B1384","B","base-only","Oil Level Лампа Цепь Failure","Oil Level Лампа Цепь Failure",
"B1385","B","base-only","Oil Level Лампа Цепь Обрыв","Oil Level Лампа Цепь Обрыв",
"B1386","B","base-only","Oil Level Лампа Цепь Короткое замыкание на массу","Oil Level Лампа Цепь Короткое замыкание на массу",
"B1387","B","base-only","Oil Температура Датчик Цепь Обрыв","Oil Температура Датчик Цепь Обрыв",
"B1388","B","base-only","Oil Температура Датчик Цепь Короткое замыкание на батарею","Oil Температура Датчик Цепь Короткое замыкание на батарею",
"B1389","B","base-only","Oil Температура Датчик Цепь Failure","Oil Температура Датчик Цепь Failure",
"B1390","B","base-only","Oil Температура Датчик Цепь Короткое замыкание на массу","Oil Температура Датчик Цепь Короткое замыкание на массу",
